Feature,Importance
Recency,0.22053298083400238
ChurnRiskCategory_Critique,0.2021881928638327
ChurnRiskCategory_Faible,0.061728620666087204
FavoriteSeason_Automne,0.056916908655476155
CustomerType_Perdu,0.054002859106646095
PreferredMonth,0.043358883731909825
FirstPurchaseDaysAgo,0.04209398918090433
CustomerType_Occasionnel,0.04118000456401609
CustomerTenureDays,0.03084112540653665
CustomerType_Nouveau,0.02379209835576976
RFMSegment_Champions,0.023097703045995607
RFMSegment_Dormants,0.02249802346110539
LoyaltyLevel_Établi,0.01669178401304816
ChurnRiskCategory_Moyen,0.0155261909679133
Frequency,0.014754746662664287
ChurnRiskCategory_Élevé,0.012296278827171379
UniqueInvoices,0.010955581141118451
MonetaryTotal,0.010263302905603212
RFMSegment_Fidèles,0.00957992065272145
CustomerType_Régulier,0.008711753018954377
TotalTransactions,0.008274115673556692
LoyaltyLevel_Nouveau,0.008192519325296646
RFMSegment_Potentiels,0.007286637637409911
UniqueProducts,0.007130378049969639
TotalQuantity,0.006707115231894373
UniqueDescriptions,0.005787356919759481
FavoriteSeason_Printemps,0.004350439854593166
FavoriteSeason_Hiver,0.0037180003940766666
FavoriteSeason_Été,0.002572868018287058
CustomerType_Hyperactif,0.0021350035940090393
AvgDaysBetweenPurchases,0.001935026854518481
ProductDiversity_Explorateur,0.001695373388230986
SpendingCategory_Medium,0.0016257432850759095
MonetaryMin,0.0013233607361426542
ProductDiversity_Modéré,0.0010193761457355194
SpendingCategory_VIP,0.0009473406272055045
LoyaltyLevel_Jeune,0.000942461681763396
AvgProductsPerTransaction,0.0009076891895033871
MinQuantity,0.0008961584633709042
MonetaryMax,0.0008295564880613469
MonetaryAvg,0.0008285675425987697
CancelledTransactions,0.0008033683725428565
MaxQuantity,0.0007922279596009014
AvgQuantityPerTransaction,0.0007113153106279935
MonetaryStd,0.0006590064319147731
WeekendPreference_Semaine,0.0006080019844801177
AvgLinesPerInvoice,0.0005469282751277322
SpendingCategory_Low,0.00048170064455243383
SpendingCategory_High,0.00045752350281664286
Age,0.00041090613551794013
PreferredHour,0.00039622026205682245
ReturnRatio,0.00031936789220676505
SatisfactionScore,0.00024855467542948497
ProductDiversity_Spécialisé,0.00023993271399460058
PreferredDayOfWeek,0.00023621751805074663
NegativeQuantityCount,0.00022900467340073913
SupportTicketsCount,0.00022466210479003498
WeekendPurchaseRatio,0.00021970543909628738
WeekendPreference_Inconnu,0.00019353528346159054
BasketSizeCategory_Petit,0.00018406206435596224
AccountStatus_Suspended,0.00011451027708626589
PreferredTimeOfDay_Après-midi,0.00011346244987038363
AccountStatus_Pending,0.00010219979421347259
WeekendPreference_Weekend,9.274773202483037e-05
AgeCategory_65+,8.363322928712415e-05
AccountStatus_Active,8.282519256972169e-05
PreferredTimeOfDay_Matin,8.111969204532917e-05
PreferredTimeOfDay_Midi,7.860681985261867e-05
Gender_M,7.31233722990011e-05
Gender_Unknown,6.622195822174605e-05
BasketSizeCategory_Moyen,6.116848269247243e-05
Gender_F,6.086197001574063e-05
BasketSizeCategory_Grand,5.44548609899374e-05
AgeCategory_45-54,5.354149162891304e-05
AgeCategory_25-34,4.9248696903378254e-05
Region_Europe continentale,4.872618864945709e-05
Country_United Kingdom,3.9321203627728284e-05
AgeCategory_55-64,3.9211499613373135e-05
Country_Denmark,3.540937388475039e-05
LoyaltyLevel_Ancien,3.524924356495355e-05
AgeCategory_35-44,3.439082775205926e-05
Region_Europe du Nord,3.3123975538841116e-05
Country_Australia,3.2807538946770045e-05
Region_Asie,2.9375996597721874e-05
AccountStatus_Closed,2.9119515726203893e-05
ZeroPriceCount,2.8872433056160505e-05
Region_Europe de l'Est,2.595735543800339e-05
AgeCategory_18-24,2.514910859396223e-05
Country_Spain,2.503951277581783e-05
Country_Norway,2.4756941532122946e-05
AgeCategory_Inconnu,2.2459478599072153e-05
Region_Autre,2.071035443385936e-05
Country_EIRE,2.032311182827332e-05
Country_Brazil,1.8803726763359464e-05
Country_Belgium,1.8664134006708138e-05
Region_UK,1.7006741361891967e-05
Country_Finland,1.661220748969607e-05
PreferredTimeOfDay_Soir,1.6147754796643302e-05
Country_Japan,1.569869724136087e-05
Region_Europe centrale,1.5411955650270346e-05
Country_Netherlands,1.3585630420768786e-05
Country_France,1.2917278813794613e-05
Country_Lithuania,1.1563813103825965e-05
Country_Portugal,1.0582442732001294e-05
Country_Germany,8.529226072745074e-06
Region_Moyen-Orient,6.100389462020291e-06
Region_Océanie,5.792734742164992e-06
Country_Switzerland,5.725631702128398e-06
Country_Canada,3.838725144374274e-06
Country_USA,3.828931069250434e-06
UniqueCountries,3.181893004852056e-06
Country_Cyprus,1.9123030987185699e-16
Country_Malta,1.6121131419994266e-16
Country_Channel Islands,1.5875747021041563e-16
Country_Sweden,1.316757341340494e-16
Country_Greece,1.2194473419693501e-16
Region_Europe du Sud,1.2045971448989482e-16
Country_Bahrain,1.1726558304878653e-16
Country_Italy,1.12950434869156e-16
Country_Israel,3.92407938715967e-17
Country_Unspecified,2.8676338070245077e-17
Country_RSA,2.8481475335838834e-17
Country_Poland,1.9660686611399125e-17
Region_Amérique du Sud,7.088043813989484e-18
Region_Amérique du Nord,1.1632352741132596e-18
Region_Afrique,0.0
Country_Austria,0.0
Country_Czech Republic,0.0
Country_European Community,0.0
Country_Iceland,0.0
Country_Lebanon,0.0
Country_Singapore,0.0
Country_United Arab Emirates,0.0
